2018-10-29 17:59:41.056063
 2730: 10.400000/100
 2740: 14.500000/100
 2750: 13.500000/100
 2760: 11.000000/100
 2770: 11.200000/100
 2780: 12.600000/100
 2790: 13.600000/100
 2800: 15.800000/100
 2810: 14.200000/100
 2820: 11.700000/100
 2830: 12.700000/100
 2840: 14.200000/100
 2850: 13.900000/100
 2860: 12.700000/100
 2870: 13.500000/100
 2880: 11.900000/100
 2890: 14.600000/100
 2900: 13.400000/100
 2910: 12.400000/100
 2920: 13.100000/100
 2930: 13.600000/100
 2940: 13.900000/100
 2950: 12.900000/100
 2960: 12.500000/100
 2970: 15.000000/100
 2980: 12.400000/100
 2990: 11.400000/100
 3000: 12.600000/100
 3010: 12.500000/100
 3020: 14.800000/100
 3030: 12.400000/100
 3040: 14.500000/100
 3050: 10.800000/100
 3060: 12.200000/100
 3070: 12.700000/100
 3080: 13.500000/100
 3090: 12.600000/100
 3100: 11.900000/100
 3110: 13.700000/100
 3120: 13.700000/100
 3130: 11.800000/100
 3140: 11.400000/100
 3150: 12.200000/100
 3160: 15.000000/100
 3170: 12.300000/100
 3180: 13.600000/100
 3190: 13.100000/100
 3200: 13.500000/100
 3210: 11.300000/100
 3220: 12.400000/100
 3230: 13.200000/100
 3240: 11.200000/100
 3250: 13.800000/100
 3260: 12.200000/100
 3270: 12.600000/100
 3280: 12.900000/100
 3290: 14.100000/100
 3300: 14.000000/100
 3310: 13.400000/100
 3320: 11.900000/100
 3330: 14.000000/100
 3340: 12.000000/100
 3350: 10.300000/100
 3360: 13.200000/100
 3370: 12.400000/100
 3380: 13.200000/100
 3390: 11.300000/100
 3400: 11.300000/100
 3410: 12.600000/100
 3420: 12.700000/100
 3430: 11.700000/100
 3440: 11.600000/100
 3450: 12.800000/100
 3460: 12.500000/100
 3470: 12.200000/100
 3480: 12.400000/100
 3490: 11.400000/100
 3500: 12.600000/100
 3510: 14.300000/100
 3520: 15.100000/100
 3530: 11.400000/100
 3540: 14.500000/100
 3550: 12.800000/100
 3560: 14.200000/100
 3570: 15.400000/100
 3580: 10.700000/100
 3590: 14.200000/100
 3600: 13.100000/100
 3610: 12.900000/100
 3620: 11.400000/100
 3630: 11.100000/100
 3640: 11.700000/100
 3650: 12.700000/100
 3660: 10.900000/100
 3670: 11.600000/100
 3680: 14.500000/100
 3690: 12.000000/100
 3700: 12.600000/100
 3710: 13.100000/100
 3720: 12.600000/100
 3730: 14.200000/100
 3740: 12.600000/100
 3750: 11.600000/100
 3760: 11.400000/100
 3770: 14.500000/100
 3780: 14.000000/100
 3790: 14.200000/100
 3800: 11.400000/100
 3810: 12.400000/100
 3820: 12.700000/100
 3830: 9.500000/100
 3840: 11.400000/100
 3850: 11.900000/100
 3860: 11.700000/100
 3870: 12.500000/100
 3880: 11.700000/100
 3890: 12.900000/100
 3900: 12.400000/100
 3910: 13.600000/100
 3920: 12.600000/100
 3930: 13.400000/100
 3940: 13.100000/100
 3950: 12.700000/100
 3960: 12.000000/100
 3970: 11.300000/100
 3980: 11.300000/100
 3990: 11.700000/100
 4000: 12.100000/100
 4010: 12.100000/100
 4020: 13.100000/100
 4030: 12.400000/100
 4040: 11.300000/100
 4050: 11.300000/100
 4060: 11.500000/100
 4070: 9.200000/100
 4080: 11.900000/100
 4090: 11.500000/100
 4100: 11.800000/100
 4110: 13.600000/100
 4120: 11.800000/100
 4130: 10.800000/100
 4140: 12.200000/100
 4150: 9.600000/100
